,parameter,mean,std,2.5q,25q,50q,75q,97.5q,mc err,round
0,a,5.314467183182798,0.15768483693352572,5.014073462713101,5.207243833249259,5.3105451239621155,5.420156437902253,5.628943423668983,0.002594011920627676,1
1,v,-0.004056226933030244,0.03179797775407972,-0.06627385787086926,-0.025723518796953115,-0.004867043531277898,0.018029528718660925,0.05865787313173387,0.0005705099520377632,1
2,t,0.5403677271933873,0.10245906963790063,0.31691258913545506,0.4745152560677686,0.5485436170238632,0.6127045916340772,0.7243017402628134,0.0017648134673773027,1
3,z,0.5240013187449143,0.023479198813646285,0.47750602146498095,0.508376337776111,0.524156890080797,0.5397353066399407,0.5699354040177419,0.0004337083128194615,1
4,a,5.131679634381243,0.15332919447659923,4.842537926634527,5.026323508663533,5.13086699939378,5.233799645226296,5.4375551936442195,0.0026980116415081744,2
5,v,-0.003930532764770488,0.03289786869503072,-0.06933772926056782,-0.02620531706260454,-0.0035799379337606574,0.017673914617773456,0.06106911930283121,0.0006315724606619473,2
6,t,0.4438709234188108,0.09455694858044687,0.24525336283522028,0.3809782321188047,0.4493137070932015,0.511096935180593,0.6116076018765366,0.0016321999901580668,2
7,z,0.5140243938178689,0.02339878806147207,0.4685619261329112,0.49779779010907926,0.5140386799224448,0.5302518517192392,0.559488284000096,0.00043542650873965185,2
8,a,4.916670461353278,0.14654485770836462,4.645688647201107,4.81729366732826,4.911912982991658,5.013634809269718,5.221671918648696,0.0025582319068920443,3
9,v,-0.009013446093719726,0.03353237743542323,-0.07411263344615282,-0.032133374560607414,-0.009591560104029603,0.013249936924205952,0.0567034390489308,0.0006594174186536707,3
10,t,0.47682347923922935,0.09328355333513016,0.2721781420664436,0.4163791139115503,0.48442437853973186,0.5431844711385966,0.6394850511571115,0.0016505785289729208,3
11,z,0.5158228248895614,0.022757048175010924,0.4726091723747211,0.500427512940168,0.5160293713184245,0.5311328459375793,0.5595414081493881,0.0004791672455077171,3
12,a,4.756932667160711,0.1479618655054331,4.474174951734401,4.656679406199101,4.7528315194362944,4.853016618266749,5.059498728362306,0.0027252170004749936,4
13,v,-0.00858999396060929,0.03552281780727999,-0.07898297214109529,-0.031982966833100215,-0.00845876566083488,0.014931400051331714,0.06058502028741554,0.0007827170968533429,4
14,t,0.508552227252495,0.08909009056445755,0.3161302525630499,0.4533580546742694,0.5140184964642095,0.5705293240086262,0.6664053803593013,0.0017527965517489096,4
15,z,0.5192626864421741,0.0232488017267486,0.47445364024692566,0.5034004789236548,0.5187779299271257,0.5347576639161707,0.5646797554946548,0.0005039645259015044,4
16,a,4.758149309961381,0.14359700699102493,4.494148157983601,4.659764708796236,4.7503845613395255,4.853113118994884,5.06424499769999,0.002609937673865787,5
17,v,-0.03709554826348045,0.03429421094068803,-0.10242815263492648,-0.06019224631488447,-0.03692605699129988,-0.014414732927757745,0.031123552428597878,0.0007178429522158753,5
18,t,0.5447124030559074,0.08920646252359397,0.34859332800612003,0.48691152292193773,0.5523287531429725,0.6081920924184232,0.7050491990166962,0.001599811959958766,5
19,z,0.5347387092273234,0.022609283979350324,0.490335069937245,0.5196254774920458,0.5352913833186893,0.5497036243194909,0.5793658623389577,0.00046823522965612165,5
20,a,4.630981588049087,0.14075741366284228,4.3678785461705365,4.534509980209714,4.626305573866794,4.725063025611275,4.921485260975405,0.0029372679234251674,6
21,v,-0.036345730821490604,0.03705969590917017,-0.1119879136010814,-0.060875592271974616,-0.03621888056272904,-0.01144493626165917,0.036277912836617465,0.0007174421358643267,6
22,t,0.5610127574801815,0.08776481294538695,0.3742782476812149,0.5048999009173362,0.5675415019247565,0.6239489175981388,0.7107960681059313,0.0019445273081595692,6
23,z,0.5232168944454675,0.023348812904839648,0.47808912504134526,0.5072178950150958,0.5229642231707623,0.5389597700596847,0.5689491210877087,0.0004470044234057348,6
24,a,4.559852512306528,0.13714789318812445,4.299382350642159,4.466131372728675,4.555590337498888,4.648515835766617,4.839231961380829,0.0023228806188459795,7
25,v,-0.027298272709877735,0.03632334344571036,-0.0976901732748762,-0.052379934997738575,-0.02713676371785939,-0.0028424071361765613,0.04361048431117498,0.0006329552713315543,7
26,t,0.5982668342192091,0.08487436500456244,0.3998722593446722,0.549583338861058,0.6066793360805508,0.6561934980912152,0.7424062137748791,0.0015852542732119022,7
27,z,0.5073781173513131,0.022689796427592474,0.46157699977117017,0.4923027911806454,0.5072687494568999,0.5230058005057117,0.5508121167228077,0.0004363547887274828,7
28,a,4.298043278439942,0.14180324363244806,4.028330645618252,4.201824041110968,4.29318260671904,4.392216353925194,4.57690434773068,0.003310737794427754,8
29,v,-0.042000737225877306,0.03726011056879382,-0.11453377908680185,-0.06749891943540659,-0.04144981372719314,-0.017154930021380244,0.03224311629867457,0.0006819257511444007,8
30,t,0.9011391992127138,0.10635836772273702,0.6742535477092365,0.8356095770877563,0.9070919421385866,0.9756078699918165,1.0886590115881207,0.002499926916664631,8
31,z,0.5244199866335174,0.021888574215383327,0.4809583715460937,0.509015796190173,0.524370473390173,0.5397130094791165,0.5670933700480038,0.00041862299279700965,8
32,a,4.358298194952984,0.13588218445740863,4.10573784242589,4.262753889175116,4.356635819564575,4.453072375610267,4.625799380794684,0.002623071421593847,9
33,v,-0.06933431096449987,0.037239831129167095,-0.1435112406307424,-0.09346411407212596,-0.06913434490248135,-0.044844134227906174,0.004860886393260877,0.0007239026806279572,9
34,t,0.7561933517762399,0.09650874519466585,0.5468282228163691,0.6940976985105956,0.7632542018057401,0.8270471566761352,0.9219152331311982,0.0018713571802501682,9
35,z,0.5249919742833176,0.021814843057282,0.48329957112299016,0.5098247564153884,0.5247131385314715,0.539951903572935,0.5677174745549589,0.00043736952944750543,9
36,a,4.516376978348683,0.14102249785472926,4.249514813833395,4.420195428590823,4.512986215092372,4.610879048349775,4.797963573573209,0.00265177270529034,10
37,v,-0.07266457797625657,0.035816685650786065,-0.1431313098678586,-0.09648672337916109,-0.07276532203189817,-0.049130219776000406,-0.001114600579945002,0.0007269784356678951,10
38,t,0.5738491336742965,0.0978069608216378,0.37205274380207354,0.5082909106231276,0.5793115677904068,0.6428556445136123,0.7482382668852534,0.0020640607028692914,10
39,z,0.5087534220548922,0.02263343479412842,0.46580113646504906,0.4931088032430391,0.508446108109848,0.5242652312446913,0.5536998238155292,0.00047387806715302425,10
40,a,4.49426263521945,0.14097027174545737,4.2232198056701815,4.398684827619287,4.494678108319609,4.587391547293339,4.784251847558031,0.0026521927625384393,11
41,v,-0.08954414800815712,0.03614365810874249,-0.16069362218049063,-0.11257985624229663,-0.08906090601862005,-0.06595108469840896,-0.01904691591053967,0.00072030147555913,11
42,t,0.5496816531888794,0.09534986126505503,0.34778572808155644,0.4877924161076154,0.553803230335732,0.6166213651324808,0.7233557952214507,0.001969585838255147,11
43,z,0.5038254145800167,0.022334045281054704,0.460331317492469,0.48865962422297954,0.5037981196618352,0.5186136259207258,0.5475599300083984,0.0004103000021684949,11
