,parameter,mean,std,2.5q,25q,50q,75q,97.5q,mc err,round
0,a,5.123276985,0.09636822,4.93864512,5.057429531,5.122820984,5.188648842,5.313527906,0.00103383,0
1,v,-0.049463752,0.021347247,-0.091564812,-0.064017035,-0.049638384,-0.034883101,-0.007751549,0.00031162,0
2,t,0.137295458,0.04450304,0.054984773,0.105480272,0.136127969,0.168747404,0.22494411,0.000504822,0
3,z,0.518041877,0.015263684,0.48812229,0.507611721,0.518098536,0.528548187,0.547688126,0.000212846,0
4,a,5.045165772,0.086380692,4.878767038,4.986904972,5.044365976,5.104229379,5.214042103,0.001086407,1
5,v,-0.064192257,0.019933408,-0.103206812,-0.077621696,-0.064067981,-0.050549982,-0.025541823,0.000246229,1
6,t,0.114105275,0.038907109,0.044038747,0.085572376,0.112805434,0.140629221,0.193298039,0.000434763,1
7,z,0.519187722,0.013831686,0.492041452,0.509930611,0.518994011,0.528503583,0.546256896,0.000177487,1
8,a,4.894656047,0.081088314,4.737287964,4.839488386,4.894280223,4.948246565,5.059298819,0.000785166,2
9,v,-0.086930186,0.020227492,-0.126104242,-0.100605859,-0.086981763,-0.073489145,-0.046996846,0.000284581,2
10,t,0.084558493,0.031887115,0.029791795,0.061363342,0.082370402,0.104934307,0.153078813,0.000357405,2
11,z,0.511204939,0.013819849,0.484126925,0.5020886,0.511337254,0.520305913,0.538597512,0.000195229,2
12,a,4.730828096,0.078570738,4.577717768,4.678190964,4.729479954,4.783599747,4.886632221,0.000881297,3
13,v,-0.113902922,0.020868445,-0.154644172,-0.127691202,-0.114038466,-0.100133387,-0.072319082,0.000306954,3
14,t,0.08349034,0.031024391,0.029311589,0.061189786,0.08129801,0.104313841,0.1477433,0.000313073,3
15,z,0.508649172,0.01347941,0.481614901,0.49973656,0.508684886,0.517866357,0.534694189,0.000192243,3
16,a,4.609066881,0.075749929,4.463865087,4.557432559,4.60833442,4.658738809,4.760815983,0.000844938,4
17,v,-0.113005419,0.021544885,-0.154364042,-0.127801777,-0.112831231,-0.098518949,-0.070169114,0.000303066,4
18,t,0.067604477,0.026784247,0.022626086,0.048119923,0.065399635,0.084653451,0.126006637,0.000299305,4
19,z,0.506880626,0.013442541,0.480697766,0.497781643,0.506786517,0.515850249,0.533148644,0.00019105,4
20,a,4.493268217,0.075595121,4.346839654,4.442157007,4.493493289,4.543766668,4.641014026,0.000967271,5
21,v,-0.12534573,0.021985832,-0.168846172,-0.139992037,-0.125608086,-0.110667558,-0.082267245,0.000289967,5
22,t,0.078825538,0.02948041,0.027528463,0.057431933,0.07688946,0.097763706,0.141225284,0.00038043,5
23,z,0.502016169,0.013577177,0.47547406,0.492867312,0.502104864,0.510981415,0.528798493,0.000173647,5
24,a,4.380929037,0.075160762,4.237123813,4.329353598,4.379379136,4.43081524,4.53230319,0.000942672,6
25,v,-0.137504406,0.022171332,-0.180183888,-0.152360863,-0.137676409,-0.122677696,-0.092781968,0.000302191,6
26,t,0.092068566,0.032095179,0.033737205,0.069252403,0.091181782,0.113394663,0.158214993,0.000421503,6
27,z,0.497241349,0.013380263,0.470827955,0.488142232,0.49745398,0.506205549,0.523537887,0.000178492,6
28,a,4.261944509,0.074827606,4.11696032,4.211461867,4.261554821,4.311914305,4.411690959,0.001115623,7
29,v,-0.142704657,0.023293873,-0.187072684,-0.158383129,-0.14262547,-0.12696724,-0.097301314,0.000331613,7
30,t,0.106652685,0.033224697,0.043810855,0.083113726,0.105961874,0.128605334,0.173984102,0.000498269,7
