,parameter,mean,std,2.5q,25q,50q,75q,97.5q,mc err,round
0,a,4.894416143,0.127740942,4.648294466,4.807780586,4.893665144,4.977151232,5.150680447,0.001578471,0
1,v,0.000204509,0.029396168,-0.056999578,-0.019437632,0.000412202,0.020319147,0.057810585,0.000420937,0
2,t,0.41710767,0.081251906,0.246085057,0.363094171,0.420575743,0.475070372,0.565982399,0.001041257,0
3,z,0.544034912,0.020210027,0.504517353,0.530407816,0.54401715,0.557758468,0.583686629,0.000297692,0
4,a,4.791159973,0.115676629,4.569551283,4.711698189,4.790431539,4.869520561,5.021550253,0.001495844,1
5,v,0.004787979,0.026725651,-0.047247608,-0.013104028,0.004785927,0.022823094,0.057818357,0.00038235,1
6,t,0.337028487,0.07194768,0.19015544,0.28855261,0.340104965,0.388025022,0.471172469,0.000949516,1
7,z,0.546425118,0.01806865,0.511176813,0.534126978,0.546362617,0.55871711,0.581523875,0.000253076,1
8,a,4.568715995,0.107731406,4.364058399,4.493792097,4.570011553,4.641053217,4.780806204,0.001443861,2
9,v,0.003885948,0.028082008,-0.051578471,-0.014788374,0.003564397,0.022780573,0.058742589,0.000451597,2
10,t,0.273178034,0.06620623,0.142639758,0.228460303,0.273904337,0.319475418,0.399600847,0.000969351,2
11,z,0.552815216,0.017895367,0.517325024,0.541010456,0.552981806,0.564610537,0.587980232,0.000278648,2
12,a,4.404766452,0.102869781,4.205862708,4.335920068,4.404223156,4.472954319,4.609623656,0.001317497,3
13,v,0.018076952,0.028904857,-0.038595501,-0.001316607,0.017799259,0.036698144,0.07678154,0.00036182,3
14,t,0.212927018,0.057229099,0.100457703,0.173310949,0.212850769,0.252332522,0.326603556,0.000722858,3
15,z,0.54286615,0.017580355,0.508803254,0.53094284,0.543049289,0.554560551,0.577679699,0.000235791,3
16,a,4.271884911,0.095837915,4.085179951,4.20646192,4.270337261,4.335297182,4.462890083,0.001141816,4
17,v,0.007198105,0.029682993,-0.051101466,-0.012977124,0.007904764,0.0273937,0.065360988,0.000381291,4
18,t,0.134558269,0.042165958,0.056074399,0.10502657,0.134323169,0.163677408,0.218771761,0.000563132,4
19,z,0.544101752,0.017318392,0.510147432,0.532464488,0.544304408,0.555688042,0.577815858,0.000245377,4
20,a,4.221773554,0.094085167,4.037410871,4.158668902,4.221373425,4.28414332,4.408072109,0.001003395,5
21,v,0.018434444,0.029288713,-0.037681982,-0.001519546,0.018377388,0.038228114,0.07636444,0.000411667,5
22,t,0.128835534,0.041303593,0.052686404,0.0993612,0.12794961,0.157235417,0.212156894,0.000468457,5
23,z,0.543295184,0.016814674,0.509425668,0.532262893,0.543424254,0.554727041,0.57567936,0.000253006,5
24,a,4.073837083,0.090636688,3.898998025,4.012151157,4.07278364,4.132799985,4.257256163,0.001263179,6
25,v,0.022633342,0.030692799,-0.037940287,0.001976359,0.022610642,0.043294835,0.083165503,0.000397721,6
26,t,0.126117087,0.039794439,0.051788633,0.098034083,0.125136499,0.152810955,0.205082705,0.000540537,6
27,z,0.536388895,0.017283652,0.502050912,0.524814605,0.536572725,0.548121037,0.569863129,0.000204205,6
28,a,3.938386644,0.088632578,3.76927276,3.876628187,3.937826765,3.998637386,4.114263074,0.001080516,7
29,v,0.027283209,0.032013135,-0.035605067,0.005880564,0.027320118,0.048446579,0.089906749,0.000372966,7
30,t,0.133103046,0.039790701,0.057550268,0.105455483,0.132116335,0.161399717,0.211506307,0.00050643,7
31,z,0.518818222,0.017345362,0.483853981,0.507177233,0.519021266,0.530612795,0.552468107,0.000213782,7
32,a,3.839272229,0.087586811,3.668739668,3.780886462,3.837655558,3.897242561,4.015710042,0.001171053,8
33,v,0.023102047,0.03271957,-0.041249027,0.000432643,0.022905822,0.045235752,0.086107168,0.00044141,8
34,t,0.149274643,0.040170999,0.069916106,0.122018298,0.149676323,0.176824728,0.227536477,0.000519502,8
35,z,0.514875157,0.017204916,0.481456474,0.503132505,0.514957115,0.526573724,0.548202297,0.00024172,8
36,a,3.752488987,0.087743108,3.5868933,3.691915973,3.750727433,3.81039939,3.931326997,0.001214183,9
37,v,0.0072644,0.03338007,-0.058926463,-0.015080083,0.007171627,0.030156398,0.072676046,0.000522994,9
38,t,0.174617882,0.040699657,0.093326466,0.147396098,0.175060013,0.202862969,0.252569605,0.000541267,9
39,z,0.516097533,0.017551906,0.481566964,0.504332694,0.516015787,0.527677465,0.550539875,0.000281866,9
40,a,3.656601098,0.087378956,3.48545819,3.597254045,3.656181656,3.71496002,3.829533759,0.001170049,10
41,v,-0.010669579,0.035168911,-0.079782214,-0.033829712,-0.010832367,0.0132204,0.057251091,0.000408931,10
42,t,0.222048017,0.043139651,0.13290478,0.194341931,0.223933701,0.25226191,0.300819586,0.00056382,10
43,z,0.521560573,0.018040778,0.486578374,0.509523084,0.521491958,0.534016118,0.556922252,0.000218297,10
44,a,3.559186381,0.082163029,3.403613593,3.503133225,3.558460811,3.615161145,3.719182526,0.000998582,11
45,v,-0.017040293,0.035758977,-0.087141852,-0.041331644,-0.016263389,0.007509547,0.052432611,0.000478891,11
46,t,0.186383809,0.035346775,0.113381045,0.162855571,0.187916266,0.211605164,0.250647681,0.000405351,11
47,z,0.526532629,0.017870721,0.490841175,0.514612733,0.526555951,0.538676997,0.561266831,0.000274744,11
48,a,3.507854149,0.08077299,3.351591885,3.452428475,3.506472284,3.562572156,3.670674757,0.001176969,12
49,v,-0.020135889,0.036815015,-0.093317269,-0.044810184,-0.019703573,0.004874017,0.050535317,0.000525534,12
50,t,0.17282502,0.034326885,0.101138563,0.150250063,0.174218808,0.197175153,0.236108029,0.000453719,12
51,z,0.535484223,0.017914158,0.500855146,0.523300585,0.535323644,0.547407456,0.57044416,0.000239809,12
52,a,3.552431634,0.080931553,3.397281354,3.497026662,3.55151177,3.606048587,3.715766238,0.001034343,13
53,v,-0.013694648,0.035986591,-0.084539258,-0.037561129,-0.013704722,0.010500724,0.05624033,0.000512176,13
54,t,0.149858296,0.03499707,0.078246738,0.126554681,0.150945811,0.174318319,0.215603244,0.000455819,13
55,z,0.541180721,0.017899498,0.506029918,0.52893176,0.541230847,0.553069703,0.576571602,0.000248356,13
56,a,3.531044484,0.081054707,3.376235942,3.476221009,3.529279537,3.585575931,3.691884092,0.001029251,14
57,v,0.004082626,0.036305135,-0.067408137,-0.020318073,0.003803301,0.028445122,0.076207449,0.000457152,14
58,t,0.132951903,0.033595828,0.066241161,0.109948168,0.133242302,0.156361808,0.19676291,0.000457924,14
59,z,0.536509284,0.017573937,0.501353617,0.52500736,0.536582608,0.548388918,0.571392172,0.000243668,14
60,a,3.463772399,0.078851788,3.314440502,3.410277139,3.46206474,3.516000045,3.623966803,0.001022355,15
61,v,0.026807683,0.036411268,-0.04281111,0.002456045,0.026221894,0.051401054,0.098201994,0.00050831,15
62,t,0.12840785,0.033333993,0.062323925,0.105737348,0.128594525,0.151451063,0.191973947,0.000427411,15
63,z,0.528362033,0.017535939,0.493778254,0.516775851,0.528499256,0.540558503,0.562335918,0.00022981,15
64,a,3.435629621,0.078825518,3.282809085,3.382046677,3.434378445,3.487202702,3.594385533,0.001075089,16
65,v,0.06589191,0.037207025,-0.007543504,0.040656773,0.066127989,0.091302142,0.137802602,0.000542383,16
66,t,0.123513611,0.032421559,0.05892165,0.101261248,0.124127779,0.145996126,0.184428205,0.000421946,16
