,parameter,mean,std,2.5q,25q,50q,75q,97.5q,mc err,round
0,a,5.036569895,0.230180726,4.601981408,4.878116931,5.029894196,5.188869699,5.504556225,0.002810879,0
1,v,0.058320806,0.05139106,-0.041837774,0.023603362,0.058452107,0.092683884,0.159362504,0.000727817,0
2,t,0.431336823,0.128503768,0.175359835,0.340121309,0.435970233,0.523073561,0.667543723,0.001755612,0
3,z,0.585057826,0.035560326,0.514312712,0.561178616,0.585704564,0.610042552,0.652609859,0.000533461,0
4,a,4.898609656,0.20047876,4.522440457,4.760963806,4.893051508,5.030859354,5.310662904,0.002190856,1
5,v,0.063965526,0.047709844,-0.028845879,0.031416124,0.064057219,0.096325829,0.156182722,0.000614302,1
6,t,0.259733788,0.076886428,0.106141016,0.20613628,0.261207764,0.315124298,0.405379043,0.000972365,1
7,z,0.591879141,0.032044199,0.528429116,0.570270005,0.592720793,0.61371907,0.652608301,0.000431877,1
8,a,4.638738524,0.198731978,4.269862009,4.500906332,4.629303487,4.77148711,5.043390709,0.002188459,2
9,v,0.058753131,0.052475927,-0.045571984,0.023593707,0.058986474,0.094354913,0.161031825,0.000754099,2
10,t,0.277240922,0.076119753,0.122512181,0.224628145,0.28068889,0.332082598,0.415519291,0.000945601,2
11,z,0.614413234,0.032338587,0.550563935,0.592759432,0.615077685,0.636353697,0.676189607,0.000506382,2
12,a,4.424822651,0.193720061,4.068152878,4.28969263,4.417722022,4.55165179,4.817058119,0.002277877,3
13,v,0.069547239,0.056002223,-0.042035851,0.032351854,0.070211409,0.107926026,0.176834763,0.000793018,3
14,t,0.304719832,0.073166628,0.155128651,0.255040861,0.309341208,0.357355031,0.43600815,0.001004678,3
15,z,0.615463281,0.03303889,0.548990647,0.593319415,0.61652581,0.638015368,0.679348274,0.000436334,3
16,a,4.198583425,0.189431322,3.846213924,4.069569445,4.19074621,4.322160838,4.589042651,0.002258995,4
17,v,0.135912534,0.059314504,0.020920673,0.095814987,0.136206245,0.176025642,0.253802773,0.000932257,4
18,t,0.2628867,0.064969724,0.127670892,0.220036229,0.267195623,0.309615572,0.377853618,0.000930864,4
19,z,0.607973175,0.033590641,0.541211057,0.585475783,0.608409443,0.631226165,0.672765309,0.000582704,4
20,a,4.14923757,0.198033504,3.782394706,4.01140765,4.141964542,4.281705606,4.557097629,0.00280246,5
21,v,0.176936565,0.063149232,0.053590866,0.134258826,0.176881669,0.219490961,0.299011666,0.001033694,5
22,t,0.264869264,0.066373247,0.127085396,0.219952912,0.268307158,0.313410827,0.383951837,0.001017336,5
23,z,0.615746069,0.034585433,0.545621643,0.592441863,0.616262679,0.639520591,0.681367436,0.00065338,5
24,a,4.039178183,0.196696423,3.671786065,3.902476096,4.032876651,4.167806492,4.444625279,0.002524289,6
25,v,0.236774636,0.065465866,0.104569885,0.192888208,0.237055903,0.281221576,0.364943035,0.000978146,6
26,t,0.250018182,0.066078892,0.116838017,0.204377377,0.254041649,0.297792939,0.369016532,0.00111478,6
27,z,0.610290339,0.035764521,0.538458763,0.586131718,0.611162917,0.634737992,0.678418686,0.000663217,6
28,a,4.020366424,0.204495196,3.640299686,3.878105185,4.014080498,4.154282279,4.445785169,0.002714806,7
29,v,0.260452658,0.067304777,0.12863822,0.21467145,0.261384282,0.306508973,0.39098114,0.001181898,7
30,t,0.248691398,0.065447496,0.114500108,0.204775692,0.25152432,0.294971699,0.368719931,0.001160136,7
31,z,0.616066988,0.035761123,0.544880668,0.59200217,0.616668383,0.640261818,0.685263374,0.00071676,7
32,a,3.877115904,0.194934618,3.510352353,3.741239954,3.871002898,4.003849864,4.280984095,0.002336268,8
33,v,0.244260109,0.069547898,0.108175367,0.19705792,0.243137768,0.291162587,0.383260772,0.001139701,8
34,t,0.262737163,0.064860372,0.127371528,0.219968782,0.266517792,0.309183905,0.380931722,0.001100769,8
35,z,0.626071706,0.036772283,0.552189742,0.601444767,0.627015945,0.651730604,0.695501525,0.000735773,8
36,a,3.574089319,0.175396914,3.246516706,3.453527586,3.56727019,3.690750734,3.93895181,0.002443663,9
37,v,0.26367735,0.074588291,0.120724763,0.212691185,0.263816325,0.314024777,0.411169322,0.001268375,9
38,t,0.251031511,0.056318612,0.131587169,0.213772736,0.254681644,0.291905306,0.349140562,0.000956239,9
39,z,0.613621982,0.035581189,0.540721539,0.590329002,0.614635267,0.638013786,0.680325405,0.000671365,9
40,a,3.420043154,0.167247838,3.107563801,3.305990028,3.413922027,3.531721801,3.758082784,0.002541708,10
41,v,0.328708748,0.076544148,0.182656553,0.277045479,0.328213657,0.380029794,0.480022352,0.001130682,10
42,t,0.207843034,0.054851527,0.096582559,0.170007509,0.209856405,0.247170168,0.309552524,0.000891232,10
43,z,0.589312137,0.03535422,0.518288758,0.565254365,0.590518143,0.613892551,0.656876759,0.000626651,10
44,a,3.147722281,0.155674645,2.856597872,3.041377618,3.143763688,3.249155061,3.463325892,0.002040943,11
45,v,0.361305378,0.081516661,0.199916347,0.307196697,0.361311551,0.417351634,0.516865098,0.001266126,11
46,t,0.208704966,0.05225876,0.101835251,0.172804541,0.2107109,0.245356681,0.305384249,0.000836598,11
47,z,0.581273803,0.034351294,0.513123211,0.55795555,0.582218209,0.60512758,0.64666357,0.000593159,11
48,a,2.996711268,0.139663497,2.738281324,2.900240577,2.992727777,3.087966962,3.284727825,0.001837963,12
49,v,0.379983644,0.080933074,0.218461004,0.326453768,0.379720713,0.434137077,0.541088215,0.001132902,12
50,t,0.146994893,0.03822992,0.070358022,0.12102612,0.148037564,0.17373299,0.219049447,0.000469726,12
51,z,0.542762286,0.03148914,0.478233023,0.521781372,0.543148294,0.564437244,0.602186579,0.000464349,12
52,a,2.865263658,0.130638074,2.621094886,2.775176825,2.861328617,2.954310302,3.1299204,0.001887575,13
53,v,0.339650521,0.083991381,0.172677305,0.283211029,0.340389943,0.396309258,0.49922155,0.00122404,13
54,t,0.141816001,0.038189249,0.06452128,0.116031319,0.143197118,0.169174282,0.212022819,0.000580903,13
55,z,0.554259219,0.031387894,0.491521985,0.533561118,0.555055406,0.575472466,0.613926365,0.000447066,13
56,a,2.765272775,0.123839341,2.534496824,2.679664006,2.760198889,2.846998684,3.019767298,0.001628006,14
57,v,0.262038872,0.085653905,0.092290768,0.204229645,0.262611325,0.318619371,0.427834999,0.001188207,14
58,t,0.150837323,0.036962321,0.075589002,0.125471206,0.1526615,0.176828826,0.218169563,0.000491291,14
59,z,0.57037612,0.030324063,0.510136129,0.550623628,0.570939149,0.590712483,0.629397766,0.00045908,14
60,a,2.763519403,0.127255887,2.529017527,2.673239492,2.758946473,2.846921547,3.027385796,0.001764943,15
61,v,0.322334272,0.085340683,0.159194533,0.263560495,0.321471802,0.379943588,0.492473235,0.001215832,15
62,t,0.15264562,0.037318357,0.076673473,0.127094132,0.154777124,0.179624997,0.219623305,0.000573685,15
63,z,0.564472339,0.031027226,0.501958581,0.543635213,0.565124675,0.585963113,0.623450523,0.00045755,15
64,a,2.683215799,0.124683316,2.450327612,2.595112479,2.67859397,2.766607108,2.935587557,0.001762489,16
65,v,0.281134856,0.089190456,0.105769047,0.221470634,0.280084946,0.339674102,0.462000688,0.001290224,16
66,t,0.170523721,0.035303196,0.095190563,0.14772759,0.172713821,0.196010991,0.233636733,0.000533039,16
67,z,0.577366322,0.030337041,0.51588664,0.55744405,0.577439636,0.597822061,0.636465037,0.00050838,16
68,a,2.704424155,0.125833815,2.468868986,2.617419927,2.700536328,2.786366547,2.964101982,0.001795563,17
69,v,0.286560435,0.090500424,0.1099342,0.224881848,0.286301591,0.34876559,0.466511232,0.001253915,17
70,t,0.164476436,0.035125476,0.091745032,0.141591168,0.166303823,0.189548504,0.227211002,0.000546649,17
71,z,0.586138438,0.031111468,0.524062013,0.565275387,0.586651616,0.607483486,0.645839398,0.000477793,17
72,a,2.572012763,0.123578886,2.341085762,2.486186163,2.568538295,2.652087099,2.824789421,0.001758915,18
73,v,0.229119927,0.097425336,0.035575399,0.164262014,0.229973044,0.295550446,0.418499232,0.00152985,18
74,t,0.248067382,0.033566785,0.172778518,0.227809654,0.251667825,0.272071366,0.303294614,0.000619712,18
75,z,0.644249071,0.032833287,0.577123405,0.622826679,0.644828115,0.666715725,0.706102841,0.00062041,18
76,a,2.597869796,0.127966998,2.361957871,2.509966312,2.593351299,2.680143453,2.865238475,0.001781555,19
77,v,0.201760681,0.102341044,0.000877995,0.133446183,0.201140761,0.271325358,0.401289879,0.001523926,19
78,t,0.276948864,0.030198949,0.208304322,0.259164961,0.280421501,0.298579329,0.325292831,0.000491627,19
79,z,0.673915554,0.033129694,0.605453895,0.652174343,0.675611433,0.696728384,0.734274512,0.00059118,19
80,a,2.578957763,0.137027815,2.321873337,2.483456886,2.573565216,2.667824589,2.860568133,0.001823972,20
81,v,0.24618262,0.108421287,0.032546431,0.172967552,0.247179681,0.318708392,0.458023575,0.001764659,20
82,t,0.298021961,0.026097743,0.238435402,0.282401392,0.30179125,0.316801983,0.339315883,0.000471229,20
83,z,0.688323938,0.033905324,0.620026714,0.665545946,0.6893497,0.712002698,0.75268082,0.00066515,20
84,a,2.581429631,0.134364621,2.335263527,2.489441839,2.57515464,2.668220796,2.860899304,0.002068425,21
85,v,0.220000079,0.108209389,0.005882417,0.147860892,0.220325031,0.292637543,0.43703748,0.001805003,21
86,t,0.306004922,0.023989349,0.250102585,0.292188173,0.309080488,0.323333525,0.343498895,0.000458186,21
87,z,0.702209629,0.032285551,0.636216348,0.681364076,0.70329396,0.724411729,0.762081141,0.000693823,21
88,a,2.543471345,0.133645292,2.298973551,2.450732017,2.539186045,2.629667514,2.820408309,0.001714244,22
89,v,0.203296275,0.110613867,-0.009819949,0.12732606,0.202823406,0.277435257,0.421769751,0.001876681,22
90,t,0.311758277,0.021500303,0.263023188,0.298953047,0.314427121,0.327090906,0.346197802,0.000386801,22
91,z,0.703914131,0.031905305,0.63719623,0.682809728,0.70528842,0.726470268,0.762254891,0.000671716,22
92,a,2.528256257,0.13631816,2.273308073,2.434284642,2.523745088,2.616519258,2.80813746,0.002234459,23
93,v,0.181350895,0.109243159,-0.030710314,0.107407881,0.18159276,0.256251382,0.396924893,0.001855815,23
94,t,0.329480431,0.019297864,0.283246063,0.31890026,0.332356291,0.343382289,0.358458849,0.000343913,23
95,z,0.705851801,0.030723865,0.640787853,0.686125259,0.7075546,0.727231636,0.761432916,0.000679505,23
96,a,2.586647852,0.14013259,2.327790144,2.488165393,2.580677162,2.679697289,2.878178067,0.002116094,24
