round user time_start time_end time_php time_js
1 usuario9 1543151134.37 1543151140.28 5909.80005264 5864
1 usuario2 1543151134.61 1543151147.8 13190.5999184 13076
1 usuario20 1543151134.12 1543151148.39 14269.0000534 14187
1 usuario21 1543151134.53 1543151137.59 3068.90010834 3011
1 usuario11 1543151134.87 1543151142.66 7796.99993134 7747
1 usuario6 1543151134.25 1543151152.55 18307.3999882 18223
1 usuario19 1543151133.91 1543151141.53 7623.6000061 7574
1 usuario18 1543151134.36 1543151138.52 4159.39998627 4108
1 usuario14 1543151134.79 1543151147.18 12384.9000931 12308
1 usuario16 1543151134.33 1543151139.36 5026.59988403 4946
1 usuario1 1543151134.39 1543151139.49 5098.99997711 4999
1 usuario12 1543151134.49 1543151146.48 11987.8001213 11907
1 usuario7 1543151134.21 1543151142.54 8326.49993896 8247
1 usuario13 1543151134.51 1543151143.3 8791.39995575 8703
1 usuario3 1543151134.46 1543151140.84 6384.70005989 6332
1 usuario8 1543151133.91 1543151147.53 13619.0001965 13508
1 usuario17 1543151133.91 1543151138.52 4607.40017891 4557
1 usuario4 1543151134.66 1543151193.18 58525.6998539 58436
1 usuario10 1543151134.42 1543151145.64 11223.1998444 11138
1 usuario22 1543151134.17 1543151139.9 5721.59981728 5670
1 usuario5 1543151134.18 1543151142.97 8799.59988594 8704
1 usuario15 1543151134.86 1543151158.58 23722.6002216 23631
2 usuario9 1543151194.43 1543151200.27 5838.59992027 5796
2 usuario2 1543151194.77 1543151204.19 9417.80018806 9325
2 usuario20 1543151194.35 1543151202.87 8516.70002937 8427
2 usuario21 1543151193.92 1543151210.78 16858.7999344 16788
2 usuario11 1543151194.06 1543151197.59 3533.20002556 3492
2 usuario6 1543151194.24 1543151206.87 12621.5000153 12538
2 usuario19 1543151194.57 1543151204.47 9902.40001678 9812
2 usuario18 1543151193.95 1543151201.24 7289.2999649 7218
2 usuario14 1543151194.17 1543151198.31 4138.20004463 4095
2 usuario16 1543151194.64 1543151198.35 3717.49997139 3676
2 usuario1 1543151194.78 1543151200.9 6122.90000916 6084
2 usuario12 1543151194.55 1543151200.89 6338.90008926 6241
2 usuario7 1543151194.92 1543151208.31 13393.8000202 13295
2 usuario13 1543151194.48 1543151208.23 13748.3000755 13654
2 usuario3 1543151194.96 1543151207.85 12886.300087 12817
2 usuario8 1543151194.42 1543151203.8 9383.50009918 9295
2 usuario17 1543151194.83 1543151200.39 5562.09993362 5484
2 usuario4 1543151194.28 1543151204.04 9755.00011444 9671
2 usuario10 1543151194.66 1543151199.83 5170.09997368 5080
2 usuario22 1543151194.29 1543151199.03 4737.20002174 4695
2 usuario5 1543151193.93 1543151206.34 12411.2000465 12319
2 usuario15 1543151194.04 1543151217.27 23229.0000916 23137
3 usuario9 1543151218.02 1543151221.6 3575.79994202 3532
