round player action_player opponent action_opponent payoff time_php time_js who_played
1 usuario20 C ['usuario12'] C 3 5573.60005379 5513 user
1 usuario12 C ['usuario20'] C 3 12073.4000206 11985 user
1 usuario29 D ['usuario21'] D 1 13518.999815 13427 user
1 usuario21 D ['usuario29'] D 1 12540.7001972 12436 user
1 usuario32 C ['usuario16'] C 3 11334.5999718 11245 user
1 usuario16 C ['usuario32'] C 3 7422.10006714 7304 user
1 usuario36 C ['usuario2'] D 0 11165.7998562 11067 user
1 usuario2 D ['usuario36'] C 4 6328.00006866 6273 user
1 usuario13 C ['usuario10'] C 3 6363.49987984 6306 user
1 usuario10 C ['usuario13'] C 3 5750.40006638 5698 user
1 usuario7 D ['usuario14'] D 1 6664.39986229 6311 user
1 usuario14 D ['usuario7'] D 1 7303.1001091 7208 user
1 usuario17 D ['usuario9'] D 1 4685.0001812 4629 user
1 usuario9 D ['usuario17'] D 1 4372.40004539 4315 user
1 usuario19 C ['usuario23'] C 3 5630.90014458 5577 user
1 usuario23 C ['usuario19'] C 3 8613.10005188 8503 user
1 usuario33 D ['usuario30'] D 1 12584.5000744 12496 user
1 usuario30 D ['usuario33'] D 1 10455.9998512 10373 user
1 usuario24 C ['usuario8'] D 0 4548.30002785 4494 user
1 usuario8 D ['usuario24'] C 4 6527.40001678 6439 user
1 usuario15 C ['usuario1'] D 0 13885.2000237 13790 user
1 usuario1 D ['usuario15'] C 4 9999.00007248 9913 user
1 usuario34 C ['usuario26'] C 3 5237.60008812 5162 user
1 usuario26 C ['usuario34'] C 3 14398.0998993 14298 user
1 usuario5 D ['usuario3'] C 4 30884.7000599 30792 user
1 usuario3 C ['usuario5'] D 0 6369.19999123 6283 user
1 usuario28 C ['usuario35'] C 3 10229.7999859 10140 user
1 usuario35 C ['usuario28'] C 3 8712.39995956 8629 user
1 usuario11 D ['usuario25'] D 1 15490.5998707 15401 user
1 usuario25 D ['usuario11'] D 1 9921.99993134 9833 user
1 usuario6 D ['usuario27'] D 1 4333.19997787 4285 user
1 usuario27 D ['usuario6'] D 1 9047.90019989 8954 user
1 usuario4 D ['usuario18'] C 4 6462.10002899 6377 user
1 usuario18 C ['usuario4'] D 0 3742.40016937 3678 user
1 usuario22 D ['usuario31'] C 4 7805.70006371 7762 user
1 usuario31 C ['usuario22'] D 0 12497.2000122 12398 user
2 usuario20 C ['usuario12'] C 3 6451.79986954 6358 user
2 usuario12 C ['usuario20'] C 3 3507.49993324 3461 user
2 usuario29 C ['usuario21'] D 0 9728.60002518 9636 user
2 usuario21 D ['usuario29'] C 4 8631.9000721 8531 user
2 usuario32 C ['usuario16'] D 0 4855.89981079 4805 user
2 usuario16 D ['usuario32'] C 4 6378.20005417 6228 user
2 usuario36 C ['usuario2'] C 3 7894.90008354 7844 user
2 usuario2 C ['usuario36'] C 3 21633.4998608 21543 user
2 usuario13 C ['usuario10'] D 0 6535.10022163 6438 user
2 usuario10 D ['usuario13'] C 4 4974.0998745 4932 user
2 usuario7 C ['usuario14'] D 0 11834.7001076 11742 user
2 usuario14 D ['usuario7'] C 4 9918.10011864 9818 user
2 usuario17 D ['usuario9'] C 4 6485.59999466 6401 user
2 usuario9 C ['usuario17'] D 0 5651.00002289 5571 user
2 usuario19 C ['usuario23'] C 3 5192.60001183 5101 user
2 usuario23 C ['usuario19'] C 3 8457.40008354 8368 user
2 usuario33 D ['usuario30'] D 1 18219.0999985 18119 user
2 usuario30 D ['usuario33'] D 1 7030.09986877 6988 user
2 usuario24 C ['usuario8'] C 3 7612.79988289 7540 user
2 usuario8 C ['usuario24'] C 3 6886.50012016 6790 user
2 usuario15 D ['usuario1'] D 1 18468.8999653 18374 user
2 usuario1 D ['usuario15'] D 1 9989.79997635 9894 user
2 usuario34 C ['usuario26'] C 3 4211.29989624 4170 user
2 usuario26 C ['usuario34'] C 3 5311.49983406 5211 user
2 usuario5 C ['usuario3'] D 0 9796.70000076 9716 user
2 usuario3 D ['usuario5'] C 4 5688.99989128 5608 user
2 usuario28 D ['usuario35'] D 1 10520.9999084 10427 user
2 usuario35 D ['usuario28'] D 1 6635.49995422 6592 user
2 usuario11 D ['usuario25'] D 1 6548.49982262 6454 user
2 usuario25 D ['usuario11'] D 1 5699.59998131 5658 user
2 usuario6 C ['usuario27'] C 3 3952.30007172 3914 user
2 usuario27 C ['usuario6'] C 3 5698.49991798 5660 user
2 usuario4 D ['usuario18'] C 4 9985.39996147 9891 user
2 usuario18 C ['usuario4'] D 0 30384.2999935 30296 user
2 usuario22 C ['usuario31'] D 0 6873.29983711 6824 user
2 usuario31 D ['usuario22'] C 4 5397.50003815 5321 user
3 usuario20 C ['usuario12'] C 3 4446.00009918 4404 user
3 usuario12 C ['usuario20'] C 3 3196.19989395 3153 user
3 usuario29 C ['usuario21'] D 0 13566.9000149 13474 user
3 usuario21 D ['usuario29'] C 4 5765.59996605 5718 user
3 usuario32 D ['usuario16'] C 4 3887.00008392 3840 user
3 usuario16 C ['usuario32'] D 0 5340.09981155 5299 user
3 usuario36 C ['usuario2'] C 3 3003.29995155 2955 user
3 usuario2 C ['usuario36'] C 3 8671.70000076 8577 user
3 usuario13 C ['usuario10'] C 3 7127.4998188 7019 user
3 usuario10 C ['usuario13'] C 3 4274.99985695 4238 user
3 usuario7 D ['usuario14'] D 1 10188.6999607 10088 user
3 usuario14 D ['usuario7'] D 1 5859.89999771 5814 user
3 usuario17 D ['usuario9'] D 1 3622.80011177 3582 user
3 usuario9 D ['usuario17'] D 1 4156.10003471 4112 user
3 usuario19 C ['usuario23'] C 3 6994.4999218 6901 user
3 usuario23 C ['usuario19'] C 3 5522.09997177 5482 user
3 usuario33 C ['usuario30'] D 0 10808.9001179 10715 user
3 usuario30 D ['usuario33'] C 4 3326.10011101 3286 user
3 usuario24 C ['usuario8'] D 0 2390.10000229 2347 user
3 usuario8 D ['usuario24'] C 4 5729.5999527 5689 user
3 usuario15 D ['usuario1'] D 1 20669.3999767 20570 user
3 usuario1 D ['usuario15'] D 1 10381.9000721 10288 user
3 usuario34 C ['usuario26'] C 3 3555.80019951 3518 user
3 usuario26 C ['usuario34'] C 3 4518.59998703 4471 user
3 usuario5 D ['usuario3'] C 4 15639.1999722 15542 user
3 usuario3 C ['usuario5'] D 0 5608.700037 5568 user
3 usuario28 D ['usuario35'] D 1 18203.7000656 18084 user
3 usuario35 D ['usuario28'] D 1 4367.90013313 4326 user
3 usuario11 C ['usuario25'] D 0 4792.60015488 4747 user
3 usuario25 D ['usuario11'] C 4 3140.10000229 3100 user
3 usuario6 D ['usuario27'] D 1 4635.9000206 4593 user
3 usuario27 D ['usuario6'] D 1 4066.4999485 4024 user
3 usuario4 D ['usuario18'] C 4 4979.5999527 4934 user
3 usuario18 C ['usuario4'] D 0 12042.9000854 11964 user
3 usuario22 D ['usuario31'] C 4 6643.39995384 6609 user
3 usuario31 C ['usuario22'] D 0 5842.79990196 5746 user
4 usuario20 C ['usuario12'] C 3 4648.19979668 4611 user
4 usuario12 C ['usuario20'] C 3 3149.10006523 3104 user
4 usuario29 C ['usuario21'] D 0 14872.2000122 14778 user
4 usuario21 D ['usuario29'] C 4 3237.29991913 3195 user
4 usuario32 C ['usuario16'] D 0 4335.59989929 4293 user
4 usuario16 D ['usuario32'] C 4 2965.70014954 2922 user
4 usuario36 D ['usuario2'] C 4 4343.79982948 4297 user
4 usuario2 C ['usuario36'] D 0 7145.20001411 7103 user
4 usuario13 D ['usuario10'] C 4 3760.10012627 3723 user
4 usuario10 C ['usuario13'] D 0 2901.79991722 2864 user
4 usuario7 C ['usuario14'] C 3 8482.10000992 8440 user
4 usuario14 C ['usuario7'] C 3 4215.10004997 4176 user
4 usuario17 D ['usuario9'] D 1 3676.5999794 3636 user
4 usuario9 D ['usuario17'] D 1 2803.99990082 2759 user
4 usuario19 C ['usuario23'] C 3 5485.70013046 5447 user
4 usuario23 C ['usuario19'] C 3 5603.69992256 5500 user
4 usuario33 D ['usuario30'] D 1 12207.6001167 12099 user
4 usuario30 D ['usuario33'] D 1 4450.50001144 4412 user
4 usuario24 C ['usuario8'] D 0 4649.80006218 4611 user
4 usuario8 D ['usuario24'] C 4 7826.80010796 7734 user
4 usuario15 C ['usuario1'] C 3 10028.5999775 9927 user
4 usuario1 C ['usuario15'] C 3 4536.99994087 4495 user
4 usuario34 C ['usuario26'] C 3 2858.90007019 2821 user
4 usuario26 C ['usuario34'] C 3 2452.89993286 2412 user
4 usuario5 C ['usuario3'] C 3 7372.60007858 7282 user
4 usuario3 C ['usuario5'] C 3 4016.09992981 3977 user
4 usuario28 D ['usuario35'] D 1 10142.8999901 10046 user
4 usuario35 D ['usuario28'] D 1 1111.29999161 1063 user
4 usuario11 D ['usuario25'] C 4 22653.4001827 22575 user
4 usuario25 C ['usuario11'] D 0 12753.9000511 12649 user
4 usuario6 C ['usuario27'] C 3 2953.99999619 2914 user
4 usuario27 C ['usuario6'] C 3 4974.80010986 4946 user
4 usuario4 D ['usuario18'] D 1 13958.4000111 13861 user
4 usuario18 D ['usuario4'] D 1 2195.00017166 2159 user
4 usuario22 D ['usuario31'] C 4 3542.80018806 3502 user
4 usuario31 C ['usuario22'] D 0 4323.30012321 4287 user
5 usuario20 C ['usuario12'] C 3 4245.10002136 4197 user
5 usuario12 C ['usuario20'] C 3 1620.10002136 1573 user
5 usuario29 D ['usuario21'] D 1 12944.0000057 12852 user
5 usuario21 D ['usuario29'] D 1 2908.40005875 2865 user
5 usuario32 C ['usuario16'] D 0 2134.00006294 2089 user
5 usuario16 D ['usuario32'] C 4 2301.90014839 2272 user
5 usuario36 C ['usuario2'] D 0 2813.79985809 2766 user
5 usuario2 D ['usuario36'] C 4 3661.40007973 3620 user
5 usuario13 C ['usuario10'] C 3 4569.90003586 4526 user
5 usuario10 C ['usuario13'] C 3 2822.60012627 2791 user
5 usuario7 C ['usuario14'] D 0 3757.49993324 3719 user
5 usuario14 D ['usuario7'] C 4 10193.7999725 10096 user
5 usuario17 D ['usuario9'] D 1 2269.09995079 2228 user
5 usuario9 D ['usuario17'] D 1 5898.2000351 5797 user
5 usuario19 C ['usuario23'] C 3 2107.59997368 2065 user
5 usuario23 C ['usuario19'] C 3 4689.19992447 4647 user
5 usuario33 D ['usuario30'] D 1 6986.79995537 6938 user
5 usuario30 D ['usuario33'] D 1 4216.19987488 4177 user
5 usuario24 C ['usuario8'] D 0 6774.10006523 6681 user
5 usuario8 D ['usuario24'] C 4 7454.50019836 7355 user
5 usuario15 D ['usuario1'] C 4 10062.2999668 9964 user
5 usuario1 C ['usuario15'] D 0 3336.09986305 3297 user
5 usuario34 C ['usuario26'] C 3 2168.79987717 2130 user
5 usuario26 C ['usuario34'] C 3 2945.80006599 2886 user
5 usuario5 C ['usuario3'] D 0 7051.10001564 6974 user
5 usuario3 D ['usuario5'] C 4 4780.99989891 4743 user
5 usuario28 D ['usuario35'] C 4 11416.4001942 11325 user
5 usuario35 C ['usuario28'] D 0 1945.19996643 1871 user
5 usuario11 D ['usuario25'] D 1 29497.2999096 29403 user
5 usuario25 D ['usuario11'] D 1 4121.29998207 4074 user
5 usuario6 D ['usuario27'] C 4 5551.19991302 5463 user
5 usuario27 C ['usuario6'] D 0 5486.09995842 5396 user
5 usuario4 D ['usuario18'] C 4 9883.89992714 9840 user
5 usuario18 C ['usuario4'] D 0 24710.0000381 24604 user
5 usuario22 D ['usuario31'] D 1 3305.4997921 3262 user
5 usuario31 D ['usuario22'] D 1 3200.59990883 3161 user
6 usuario20 C ['usuario12'] C 3 3062.89982796 3019 user
6 usuario12 C ['usuario20'] C 3 2754.40001488 2708 user
6 usuario29 D ['usuario21'] D 1 10559.899807 10463 user
6 usuario21 D ['usuario29'] D 1 5742.89989471 5639 user
6 usuario32 D ['usuario16'] C 4 2548.29978943 2506 user
6 usuario16 C ['usuario32'] D 0 3742.50006676 3700 user
6 usuario36 C ['usuario2'] D 0 3666.20016098 3613 user
6 usuario2 D ['usuario36'] C 4 10501.5001297 10405 user
6 usuario13 D ['usuario10'] C 4 4203.19986343 4160 user
6 usuario10 C ['usuario13'] D 0 3477.60009766 3439 user
6 usuario7 C ['usuario14'] C 3 12429.3999672 12337 user
6 usuario14 C ['usuario7'] C 3 14264.0001774 14159 user
6 usuario17 D ['usuario9'] C 4 2701.99990273 2662 user
6 usuario9 C ['usuario17'] D 0 2704.49995995 2665 user
6 usuario19 C ['usuario23'] D 0 4133.59999657 4090 user
6 usuario23 D ['usuario19'] C 4 26210.9999657 26109 user
6 usuario33 D ['usuario30'] C 4 9019.99998093 8920 user
6 usuario30 C ['usuario33'] D 0 5939.80002403 5841 user
6 usuario24 D ['usuario8'] D 1 6591.19987488 6549 user
6 usuario8 D ['usuario24'] D 1 17878.0999184 17786 user
6 usuario15 C ['usuario1'] C 3 12557.1000576 12461 user
6 usuario1 C ['usuario15'] C 3 8298.99978638 8205 user
6 usuario34 C ['usuario26'] C 3 2930.69982529 2892 user
6 usuario26 C ['usuario34'] C 3 2556.20002747 2525 user
6 usuario5 D ['usuario3'] D 1 4826.40004158 4778 user
6 usuario3 D ['usuario5'] D 1 3706.20012283 3661 user
6 usuario28 C ['usuario35'] C 3 9912.99986839 9821 user
6 usuario35 C ['usuario28'] C 3 1173.09999466 1130 user
6 usuario11 D ['usuario25'] C 4 20457.4000835 20365 user
6 usuario25 C ['usuario11'] D 0 5259.29999352 5215 user
6 usuario6 D ['usuario27'] C 4 4084.10000801 4042 user
6 usuario27 C ['usuario6'] D 0 6431.20002747 6336 user
6 usuario4 D ['usuario18'] D 1 4202.5001049 4160 user
6 usuario18 D ['usuario4'] D 1 17295.5999374 17201 user
6 usuario22 D ['usuario31'] D 1 3238.19994926 3201 user
6 usuario31 D ['usuario22'] D 1 6627.4998188 6537 user
7 usuario20 C ['usuario12'] C 3 3298.79999161 3261 user
7 usuario12 C ['usuario20'] C 3 2146.99983597 2105 user
7 usuario29 C ['usuario21'] D 0 3834.1999054 3786 user
7 usuario21 D ['usuario29'] C 4 4947.29995728 4904 user
7 usuario32 D ['usuario16'] C 4 1451.40004158 1403 user
7 usuario16 C ['usuario32'] D 0 6073.19998741 6030 user
7 usuario36 C ['usuario2'] D 0 3669.90017891 3618 user
7 usuario2 D ['usuario36'] C 4 9060.70017815 8962 user
7 usuario13 C ['usuario10'] D 0 3820.50013542 3778 user
7 usuario10 D ['usuario13'] C 4 3206.89988136 3167 user
7 usuario7 C ['usuario14'] C 3 4195.39999962 4159 user
7 usuario14 C ['usuario7'] C 3 3344.49982643 3301 user
7 usuario17 D ['usuario9'] C 4 2341.69983864 2302 user
7 usuario9 C ['usuario17'] D 0 2460.50000191 2422 user
7 usuario19 D ['usuario23'] C 4 5459.1999054 5419 user
7 usuario23 C ['usuario19'] D 0 8054.30006981 8024 user
7 usuario33 D ['usuario30'] D 1 8325.69980621 8221 user
7 usuario30 D ['usuario33'] D 1 3313.19999695 3274 user
7 usuario24 D ['usuario8'] D 1 6934.99994278 6891 user
7 usuario8 D ['usuario24'] D 1 9898.10013771 9807 user
7 usuario15 D ['usuario1'] C 4 20560.199976 20468 user
7 usuario1 C ['usuario15'] D 0 2749.70006943 2709 user
7 usuario34 C ['usuario26'] C 3 2498.4998703 2460 user
7 usuario26 C ['usuario34'] C 3 2564.89992142 2520 user
7 usuario5 C ['usuario3'] D 0 6877.20012665 6835 user
7 usuario3 D ['usuario5'] C 4 3363.10005188 3326 user
7 usuario28 D ['usuario35'] D 1 11302.5999069 11213 user
