round player action_player opponent action_opponent payoff time_php time_js who_played
1 usuario5 C ['usuario6'] C 3 18058.0999851 18029 user
1 usuario6 C ['usuario5'] C 3 4788.19990158 4762 user
1 usuario8 C ['usuario2'] C 3 3920.70007324 3895 user
1 usuario2 C ['usuario8'] C 3 7742.39993095 7713 user
1 usuario4 D ['usuario3'] C 4 7924.30019379 7888 user
1 usuario3 C ['usuario4'] D 0 13337.3000622 13304 user
1 usuario7 C ['usuario1'] D 0 4160.1998806 4137 user
1 usuario1 D ['usuario7'] C 4 10890.7001019 10862 user
2 usuario5 C ['usuario6'] C 3 14014.4000053 13983 user
2 usuario6 C ['usuario5'] C 3 3592.90003777 3571 user
2 usuario8 C ['usuario2'] C 3 2210.09993553 2183 user
2 usuario2 C ['usuario8'] C 3 4261.30008698 4235 user
2 usuario4 C ['usuario3'] D 0 4292.2000885 4267 user
2 usuario3 D ['usuario4'] C 4 3541.39995575 3512 user
2 usuario7 D ['usuario1'] D 1 4168.49994659 4138 user
2 usuario1 D ['usuario7'] D 1 5305.09996414 5274 user
3 usuario5 C ['usuario6'] C 3 14794.200182 14764 user
3 usuario6 C ['usuario5'] C 3 3864.00008202 3836 user
3 usuario8 C ['usuario2'] D 0 1678.20000648 1651 user
3 usuario2 D ['usuario8'] C 4 3083.60004425 3060 user
3 usuario4 C ['usuario3'] C 3 3872.90000916 3843 user
3 usuario3 C ['usuario4'] C 3 4519.09995079 4494 user
3 usuario7 D ['usuario1'] C 4 3792.39988327 3766 user
3 usuario1 C ['usuario7'] D 0 7678.49993706 7649 user
4 usuario5 D ['usuario6'] C 4 22727.2000313 22698 user
4 usuario6 C ['usuario5'] D 0 5467.09990501 5437 user
4 usuario8 C ['usuario2'] D 0 3243.10016632 3218 user
4 usuario2 D ['usuario8'] C 4 3144.49977875 3118 user
4 usuario4 D ['usuario3'] C 4 2786.90004349 2757 user
4 usuario3 C ['usuario4'] D 0 2961.60006523 2933 user
4 usuario7 C ['usuario1'] D 0 2626.99985504 2604 user
4 usuario1 D ['usuario7'] C 4 10229.8998833 10207 user
5 usuario5 D ['usuario6'] D 1 14786.7000103 14756 user
5 usuario6 D ['usuario5'] D 1 17888.299942 17859 user
5 usuario8 D ['usuario2'] C 4 2035.70008278 2010 user
5 usuario2 C ['usuario8'] D 0 6487.20002174 6460 user
5 usuario4 D ['usuario3'] D 1 4030.40003777 4005 user
5 usuario3 D ['usuario4'] D 1 2276.99995041 2250 user
5 usuario7 C ['usuario1'] D 0 1833.89997482 1809 user
5 usuario1 D ['usuario7'] C 4 3847.8000164 3821 user
6 usuario5 D ['usuario6'] C 4 10171.8001366 10143 user
6 usuario6 C ['usuario5'] D 0 6726.30000114 6698 user
6 usuario8 C ['usuario2'] C 3 1627.19988823 1606 user
6 usuario2 C ['usuario8'] C 3 4629.29987907 4601 user
6 usuario4 C ['usuario3'] D 0 2331.40015602 2307 user
6 usuario3 D ['usuario4'] C 4 2729.90012169 2702 user
6 usuario7 D ['usuario1'] C 4 2186.09976768 2160 user
6 usuario1 C ['usuario7'] D 0 11226.7000675 11200 user
7 usuario5 C ['usuario6'] D 0 19285.1998806 19254 user
7 usuario6 D ['usuario5'] C 4 8546.80013657 8518 user
7 usuario8 C ['usuario2'] D 0 832.200050354 806 user
7 usuario2 D ['usuario8'] C 4 3486.1998558 3464 user
7 usuario4 C ['usuario3'] C 3 3692.80004501 3669 user
7 usuario3 C ['usuario4'] C 3 3088.90008926 3063 user
7 usuario7 D ['usuario1'] D 1 1628.60012054 1604 user
7 usuario1 D ['usuario7'] D 1 4219.30003166 4195 user
8 usuario5 D ['usuario6'] C 4 12405.9000015 12375 user
8 usuario6 C ['usuario5'] D 0 11870.7001209 11843 user
8 usuario8 C ['usuario2'] C 3 1972.70011902 1946 user
8 usuario2 C ['usuario8'] C 3 5481.59980774 5451 user
8 usuario4 C ['usuario3'] C 3 2992.19989777 2965 user
8 usuario3 C ['usuario4'] C 3 1910.3000164 1883 user
8 usuario7 C ['usuario1'] D 0 1987.79988289 1964 user
8 usuario1 D ['usuario7'] C 4 2089.20001984 2064 user
9 usuario5 D ['usuario6'] D 1 9796.200037 9767 user
9 usuario6 D ['usuario5'] D 1 6238.39998245 6208 user
9 usuario8 C ['usuario2'] C 3 2069.49996948 2040 user
9 usuario2 C ['usuario8'] C 3 5459.3000412 5427 user
9 usuario4 C ['usuario3'] C 3 3295.09997368 3278 user
9 usuario3 C ['usuario4'] C 3 1943.09997559 1919 user
9 usuario7 D ['usuario1'] C 4 1827.60000229 1801 user
9 usuario1 C ['usuario7'] D 0 5738.39998245 5709 user
10 usuario5 D ['usuario6'] D 1 8500.49996376 8468 user
10 usuario6 D ['usuario5'] D 1 4606.30011559 4582 user
10 usuario8 C ['usuario2'] D 0 1767.70019531 1742 user
10 usuario2 D ['usuario8'] C 4 2828.20010185 2810 user
10 usuario4 C ['usuario3'] C 3 2903.7001133 2881 user
10 usuario3 C ['usuario4'] C 3 1422.79982567 1398 user
10 usuario7 C ['usuario1'] D 0 2519.99998093 2489 user
10 usuario1 D ['usuario7'] C 4 4128.79991531 4069 user
11 usuario5 D ['usuario6'] D 1 7853.89995575 7823 user
11 usuario6 D ['usuario5'] D 1 2315.00005722 2290 user
11 usuario8 C ['usuario2'] D 0 1388.99993896 1364 user
11 usuario2 D ['usuario8'] C 4 4816.30015373 4792 user
11 usuario4 C ['usuario3'] C 3 2577.60000229 2556 user
11 usuario3 C ['usuario4'] C 3 1395.50018311 1369 user
11 usuario7 D ['usuario1'] C 4 2225.80003738 2206 user
11 usuario1 C ['usuario7'] D 0 13432.199955 13402 user
12 usuario5 C ['usuario6'] D 0 4677.00004578 4651 user
12 usuario6 D ['usuario5'] C 4 3650.50005913 3600 user
12 usuario8 C ['usuario2'] C 3 1771.19994164 1745 user
12 usuario2 C ['usuario8'] C 3 3636.60001755 3609 user
12 usuario4 C ['usuario3'] C 3 3614.0999794 3586 user
12 usuario3 C ['usuario4'] C 3 1557.60002136 1531 user
12 usuario7 D ['usuario1'] D 1 1840.39998055 1815 user
12 usuario1 D ['usuario7'] D 1 1470.09992599 1445 user
13 usuario5 D ['usuario6'] C 4 8735.2001667 8703 user
13 usuario6 C ['usuario5'] D 0 4147.20010757 4121 user
13 usuario8 C ['usuario2'] C 3 926.199913025 904 user
13 usuario2 C ['usuario8'] C 3 4147.60017395 4117 user
13 usuario4 C ['usuario3'] C 3 2761.60001755 2734 user
13 usuario3 C ['usuario4'] C 3 2586.69996262 2558 user
13 usuario7 C ['usuario1'] D 0 2346.09985352 2321 user
13 usuario1 D ['usuario7'] C 4 1757.60006905 1731 user
14 usuario5 D ['usuario6'] D 1 13355.2999496 13329 user
14 usuario6 D ['usuario5'] D 1 3427.90007591 3401 user
14 usuario8 D ['usuario2'] D 1 1595.70002556 1570 user
14 usuario2 D ['usuario8'] D 1 5810.79983711 5762 user
14 usuario4 C ['usuario3'] C 3 4182.70015717 4156 user
14 usuario3 C ['usuario4'] C 3 1261.0001564 1235 user
14 usuario7 C ['usuario1'] D 0 1139.80007172 1115 user
14 usuario1 D ['usuario7'] C 4 2093.09983253 2065 user
15 usuario5 D ['usuario6'] D 1 5370.8999157 5339 user
15 usuario6 D ['usuario5'] D 1 2693.39990616 2663 user
15 usuario8 C ['usuario2'] D 0 1619.4999218 1596 user
15 usuario2 D ['usuario8'] C 4 3782.90009499 3754 user
15 usuario4 C ['usuario3'] C 3 5271.49987221 5221 user
15 usuario3 C ['usuario4'] C 3 1303.69997025 1276 user
15 usuario7 C ['usuario1'] D 0 1472.29981422 1445 user
15 usuario1 D ['usuario7'] C 4 1909.30008888 1884 user
16 usuario5 D ['usuario6'] D 1 14039.9999619 14012 user
16 usuario6 D ['usuario5'] D 1 6012.90011406 5951 user
16 usuario8 C ['usuario2'] C 3 1152.1999836 1126 user
16 usuario2 C ['usuario8'] C 3 4168.09988022 4141 user
16 usuario4 C ['usuario3'] C 3 2501.29985809 2482 user
16 usuario3 C ['usuario4'] C 3 1563.09986115 1541 user
16 usuario7 D ['usuario1'] D 1 1589.6999836 1562 user
16 usuario1 D ['usuario7'] D 1 2745.20015717 2722 user
17 usuario5 D ['usuario6'] D 1 6663.59996796 6630 user
17 usuario6 D ['usuario5'] D 1 8266.299963 8236 user
17 usuario8 C ['usuario2'] C 3 723.299980164 692 user
17 usuario2 C ['usuario8'] C 3 3822.49999046 3797 user
17 usuario4 C ['usuario3'] C 3 3170.50004005 3143 user
17 usuario3 C ['usuario4'] C 3 1326.49993896 1301 user
17 usuario7 D ['usuario1'] D 1 1161.29994392 1132 user
17 usuario1 D ['usuario7'] D 1 2791.70012474 2765 user
18 usuario5 D ['usuario6'] D 1 7274.60002899 7248 user
18 usuario6 D ['usuario5'] D 1 6803.99990082 6771 user
18 usuario8 C ['usuario2'] D 0 783.200025558 755 user
18 usuario2 D ['usuario8'] C 4 7529.19983864 7505 user
18 usuario4 C ['usuario3'] C 3 2215.49987793 2186 user
18 usuario3 C ['usuario4'] C 3 1263.20004463 1222 user
18 usuario7 D ['usuario1'] C 4 1334.400177 1307 user
18 usuario1 C ['usuario7'] D 0 3626.00016594 3597 user
19 usuario5 D ['usuario6'] D 1 3733.90007019 3710 user
19 usuario6 D ['usuario5'] D 1 2942.00015068 2914 user
19 usuario8 C ['usuario2'] D 0 2835.09993553 2811 user
19 usuario2 D ['usuario8'] C 4 4974.60007668 4952 user
19 usuario4 C ['usuario3'] C 3 2683.69984627 2661 user
19 usuario3 C ['usuario4'] C 3 1127.09999084 1100 user
19 usuario7 C ['usuario1'] D 0 1767.09985733 1748 user
19 usuario1 D ['usuario7'] C 4 4782.99999237 4756 user
20 usuario5 D ['usuario6'] D 1 3034.60001945 3008 user
20 usuario6 D ['usuario5'] D 1 4315.50002098 4297 user
20 usuario8 D ['usuario2'] D 1 1079.70023155 1055 user
20 usuario2 D ['usuario8'] D 1 3406.89992905 3367 user
20 usuario4 C ['usuario3'] C 3 1826.60007477 1800 user
20 usuario3 C ['usuario4'] C 3 1662.60004044 1636 user
20 usuario7 D ['usuario1'] C 4 961.599826813 936 user
