round player action_player opponent action_opponent payoff time_php time_js who_played
1 usuario1 C ['usuario15'] C 3 6199.69987869 6179 user
1 usuario2 D ['usuario4'] D 1 5240.20004272 5192 user
1 usuario3 D ['usuario14'] D 1 16417.7000523 16389 user
1 usuario4 D ['usuario2'] D 1 4878.90005112 4853 user
1 usuario5 C ['usuario12'] D 0 4530.10010719 4500 user
1 usuario6 C ['usuario7'] C 3 3569.39983368 3534 user
1 usuario7 C ['usuario6'] C 3 5615.29994011 5577 user
1 usuario8 C ['usuario16'] D 0 4078.9000988 4050 user
1 usuario9 D ['usuario13'] C 4 13362.2999191 13342 user
1 usuario10 D ['usuario11'] D 1 3263.8001442 3236 user
1 usuario11 D ['usuario10'] D 1 4161.39984131 4142 user
1 usuario12 D ['usuario5'] C 4 1956.09998703 1938 user
1 usuario13 C ['usuario9'] D 0 3645.90001106 3618 user
1 usuario14 D ['usuario3'] D 1 5786.5998745 5757 user
1 usuario15 C ['usuario1'] C 3 8195.60003281 8176 user
1 usuario16 D ['usuario8'] C 4 3365.70000648 3345 user
2 usuario1 D ['usuario11'] C 4 10080.8999538 10046 user
2 usuario2 D ['usuario9'] C 4 3291.30005836 3263 user
2 usuario3 D ['usuario16'] D 1 17398.4999657 17364 user
2 usuario4 C ['usuario12'] C 3 7239.30001259 7210 user
2 usuario5 D ['usuario7'] C 4 8102.40006447 8072 user
2 usuario6 C ['usuario15'] C 3 1959.1999054 1933 user
2 usuario7 C ['usuario5'] D 0 5442.60001183 5394 user
2 usuario8 C ['usuario10'] D 0 4749.79996681 4724 user
2 usuario9 C ['usuario2'] D 0 10535.3000164 10506 user
2 usuario10 D ['usuario8'] C 4 7432.70015717 7412 user
2 usuario11 C ['usuario1'] D 0 4278.30004692 4253 user
2 usuario12 C ['usuario4'] C 3 4621.70004845 4603 user
2 usuario13 D ['usuario14'] D 1 2811.1000061 2796 user
2 usuario14 D ['usuario13'] D 1 2031.89992905 2014 user
2 usuario15 C ['usuario6'] C 3 7393.59998703 7363 user
2 usuario16 D ['usuario3'] D 1 3558.79998207 3538 user
3 usuario1 C ['usuario11'] D 0 5121.90008163 5100 user
3 usuario2 D ['usuario5'] D 1 2036.39984131 2010 user
3 usuario3 C ['usuario9'] C 3 15389.2998695 15358 user
3 usuario4 C ['usuario10'] D 0 3761.89994812 3737 user
3 usuario5 D ['usuario2'] D 1 5024.3999958 4971 user
3 usuario6 C ['usuario16'] D 0 1390.59996605 1363 user
3 usuario7 D ['usuario8'] C 4 10927.7000427 10907 user
3 usuario8 C ['usuario7'] D 0 2086.70020103 2067 user
3 usuario9 C ['usuario3'] C 3 7413.19990158 7379 user
3 usuario10 D ['usuario4'] C 4 2538.39993477 2514 user
3 usuario11 D ['usuario1'] C 4 1811.19990349 1790 user
3 usuario12 D ['usuario15'] C 4 2021.50011063 1992 user
3 usuario13 D ['usuario14'] D 1 5226.30000114 5198 user
3 usuario14 D ['usuario13'] D 1 3347.00012207 3321 user
3 usuario15 C ['usuario12'] D 0 10896.5001106 10868 user
3 usuario16 D ['usuario6'] C 4 2287.69993782 2264 user
4 usuario1 C ['usuario2'] D 0 9880.10001183 9850 user
4 usuario2 D ['usuario1'] C 4 1935.09984016 1908 user
4 usuario3 C ['usuario14'] D 0 11244.5001602 11213 user
4 usuario4 C ['usuario8'] C 3 3730.99994659 3705 user
4 usuario5 D ['usuario9'] C 4 5027.29988098 4999 user
4 usuario6 C ['usuario10'] D 0 859.299898148 831 user
4 usuario7 D ['usuario13'] D 1 6956.00008965 6920 user
4 usuario8 C ['usuario4'] C 3 2432.39998817 2414 user
4 usuario9 C ['usuario5'] D 0 10889.8999691 10860 user
4 usuario10 D ['usuario6'] C 4 1514.60003853 1496 user
4 usuario11 D ['usuario12'] D 1 2447.0000267 2419 user
4 usuario12 D ['usuario11'] D 1 1980.60011864 1955 user
4 usuario13 D ['usuario7'] D 1 2226.39989853 2206 user
4 usuario14 D ['usuario3'] C 4 2312.90006638 2286 user
4 usuario15 D ['usuario16'] D 1 10813.8000965 10783 user
4 usuario16 D ['usuario15'] D 1 1380.3999424 1352 user
5 usuario1 D ['usuario15'] D 1 5351.39989853 5322 user
5 usuario2 D ['usuario6'] D 1 2167.80018806 2148 user
5 usuario3 D ['usuario9'] D 1 12132.8999996 12103 user
5 usuario4 C ['usuario10'] D 0 5392.30012894 5362 user
5 usuario5 D ['usuario16'] D 1 1903.20014954 1877 user
5 usuario6 D ['usuario2'] D 1 2893.30005646 2867 user
5 usuario7 C ['usuario13'] D 0 6582.99994469 6553 user
5 usuario8 C ['usuario12'] C 3 1550.20022392 1520 user
5 usuario9 D ['usuario3'] D 1 6716.19987488 6685 user
5 usuario10 D ['usuario4'] C 4 1494.10009384 1467 user
5 usuario11 D ['usuario14'] D 1 4528.7001133 4513 user
5 usuario12 C ['usuario8'] C 3 1314.50009346 1283 user
5 usuario13 D ['usuario7'] C 4 2329.59985733 2301 user
5 usuario14 D ['usuario11'] D 1 2105.09991646 2084 user
5 usuario15 D ['usuario1'] D 1 6776.20005608 6743 user
5 usuario16 D ['usuario5'] D 1 1488.80004883 1469 user
6 usuario1 D ['usuario3'] C 4 5093.60003471 5072 user
6 usuario2 D ['usuario11'] D 1 1277.89998055 1251 user
6 usuario3 C ['usuario1'] D 0 6129.49991226 6093 user
6 usuario4 D ['usuario15'] D 1 8810.89997292 8781 user
6 usuario5 C ['usuario14'] D 0 1584.3000412 1560 user
6 usuario6 C ['usuario7'] D 0 1507.20000267 1488 user
6 usuario7 D ['usuario6'] C 4 2196.30002975 2174 user
